voltage	series1	series2	series3	series4	series5	series6	series7	series8
-0.1	-0.09331585	-0.1361497	-0.1161503	-0.1045538	-0.04069737	-0.07142015	-0.05884024	-0.09007572
-0.0665	-0.06655551	-0.08752834	-0.08053047	-0.07203787	-0.03489961	-0.05224615	-0.04813155	-0.06352609
-0.0335	-0.04266755	-0.04898724	-0.04969433	-0.04138858	-0.02974669	-0.03381107	-0.0387123	-0.03779526
0	-0.02504701	-0.02746936	-0.03158563	-0.01548491	-0.02560352	-0.02488743	-0.03202041	-0.01490973
0.0335	-0.01024698	-0.01110577	-0.01591723	0.009546286	-0.02173728	-0.02023843	-0.02640041	0.007849082
0.0665	0.002965838	0.002692567	-0.003028482	0.03419579	-0.0179227	-0.01933624	-0.02185209	0.03019896
0.1	0.01892912	0.02124599	0.015588	0.05954555	-0.01413821	-0.01732674	-0.01682731	0.0537013
0.1335	0.03667711	0.04366778	0.03963308	0.09205157	-0.01028731	-0.0145783	-0.01131434	0.08059742
0.1665	0.0585945	0.06846134	0.06708529	0.1288561	-0.005837831	-0.01125882	-0.005429895	0.1113212
0.2	0.08550695	0.0961925	0.09869582	0.1778295	-0.001138445	-0.00757981	0.001284719	0.148157
0.2335	0.1167627	0.1238513	0.1309613	0.2349052	0.003787789	-0.003098279	0.008148641	0.1915436
0.2665	0.155045	0.1559011	0.1696568	0.3010453	0.008894582	0.001460606	0.01639026	0.2433524
0.3	0.2005656	0.1900263	0.211386	0.3776034	0.01452009	0.006913222	0.0242934	0.3053723
0.3335	0.2534269	0.2261797	0.255707	0.46467	0.02002473	0.01337226	0.03343435	0.3774916
0.3665	0.3140828	0.2640036	0.3015166	0.5610698	0.02582818	0.01945329	0.04326427	0.459768
0.4	0.3825359	0.304769	0.3514885	0.6662089	0.03214591	0.02669381	0.0540438	0.5520388
0.4335	0.464967	0.3465959	0.4034427	0.7789846	0.03898946	0.03467371	0.06593526	0.6538833
0.4665	0.5423306	0.3900701	0.4575987	0.8980877	0.04581288	0.04341072	0.0787555	0.7633897
0.5	0.6274921	0.4359678	0.5145574	1.024098	0.05306237	0.0529184	0.09307482	0.8807831
0.5335	0.721544	0.4832644	0.5742487	1.135479	0.0604323	0.06304219	0.1093834	1.003728
0.5665	0.819856	0.5324321	0.6353172	1.286877	0.06873186	0.07458735	0.1250773	1.117408
0.6	0.9241893	0.5834022	0.699314	1.426933	0.07780911	0.08576444	0.1422157	1.264874
0.6335	1.030418	0.634789	0.7643964	1.570104	0.08739797	0.0979469	0.1609082	1.407804
0.6665	1.131525	0.6885718	0.8311479	1.714452	0.100065	0.1188244	0.1832022	1.554059
0.7	1.254232	0.7487374	0.9036607	1.863461	0.1180837	0.1502738	0.2169486	1.707801
0.7335	1.382248	0.8275741	0.9940043	2.016434	0.1834228	0.2336829	0.2899416	1.866715
0.7665	1.527431	0.9638062	1.10922	2.172355	0.4385479	0.4658844	0.4908724	2.035785
0.8	1.723721	1.156336	1.361062	2.33655	0.8702793	0.8869426	0.9175842	2.230538
0.8335	2.042208	1.623488	1.752161	2.519513	1.171893	1.203946	1.235345	2.492503
0.8665	2.43464	2.087402	2.202477	2.738447	1.701636	1.775229	1.900842	2.885062
0.9	2.851957	2.550766	2.678781	3.049571	2.140079	2.264515	2.455172	3.357279
0.9335	3.275866	3.009063	3.155091	3.414412	2.554065	2.728581	2.974212	3.834335
0.9665	3.698985	3.466324	3.631484	3.792481	2.960325	3.17691	3.468742	4.302444
1	4.137776	3.931231	4.116175	4.186915	3.372652	3.629883	3.962332	4.780629
1.0335	4.580893	4.394964	4.597515	4.590642	3.784583	4.078593	4.447388	5.254764
1.0665	5.022692	4.857093	5.077779	4.999052	4.193258	4.525012	4.926676	5.732548
1.1	5.468972	5.323272	5.562424	5.413256	4.600734	4.972095	5.405348	6.216181
1.1335	5.914855	5.78714	6.045372	5.8319	5.00584	5.417096	5.877719	6.698785
1.1665	6.357535	6.247215	6.527832	6.253961	5.405413	5.853296	6.346121	7.182618
1.2	6.798294	6.7082	7.011559	6.682115	5.800594	6.291547	6.812775	7.667295
1.1665	6.643188	6.517194	6.802559	6.534096	5.661082	6.124063	6.630686	7.49361
1.1335	6.444263	6.289141	6.556129	6.343534	5.47441	5.916292	6.408442	7.264423
1.1	6.225358	6.043394	6.295868	6.133869	5.264346	5.690694	6.169202	7.010369
1.0665	5.997949	5.793323	6.03258	5.915595	5.035074	5.457768	5.925411	6.741825
1.0335	5.762083	5.54344	5.773148	5.693245	4.791885	5.222744	5.679732	6.463586
1	5.512997	5.287196	5.511416	5.464317	4.527664	4.978828	5.425686	6.168806
0.9665	5.251974	5.025252	5.246552	5.227642	4.247266	4.727301	5.160779	5.858698
0.9335	4.98974	4.766653	4.986924	4.987658	3.961778	4.473466	4.896282	5.542323
0.9	4.715015	4.500141	4.720875	4.738265	3.665245	4.209546	4.617823	5.213052
0.8665	4.433023	4.230835	4.450589	4.484554	3.363823	3.939064	4.326877	4.878742
0.8335	4.156041	3.966243	4.18706	4.233039	3.065088	3.673407	4.036475	4.55077
0.8	3.869979	3.696018	3.913824	3.974682	2.767074	3.400658	3.733534	4.216197
0.7665	3.590972	3.429255	3.643485	3.717727	2.476775	3.130969	3.428913	3.88993
0.7335	3.316346	3.168127	3.376668	3.467739	2.193607	2.866832	3.127233	3.574028
0.7	3.045802	2.911253	3.111998	3.217341	1.924295	2.604887	2.827322	3.267084
0.6665	2.781634	2.660397	2.853638	2.972653	1.671963	2.351926	2.534473	2.969471
0.6335	2.530087	2.41955	2.603839	2.735114	1.436482	2.11155	2.25606	2.687596
0.6	2.289223	2.188367	2.360423	2.504052	1.219346	1.882167	1.987551	2.419672
0.5665	2.057991	1.966467	2.126364	2.279514	1.024675	1.663747	1.734593	2.167118
0.5335	1.840247	1.755423	1.942773	2.065188	0.8502016	1.46109	1.50342	1.928625
0.5	1.633303	1.555771	1.694011	1.856985	0.7014433	1.271178	1.289266	1.701704
0.4665	1.436043	1.36887	1.493383	1.657439	0.5737215	1.095688	1.094937	1.490247
