voltage	series1	
-0.1	-0.1161503
-0.0665	-0.08053047
-0.0335	-0.04969433
0	-0.03158563
0.0335	-0.01591723
0.0665	-0.003028482
0.1	0.015588
0.1335	0.03963308
0.1665	0.06708529
0.2	0.09869582
0.2335	0.1309613
0.2665	0.1696568
0.3	0.211386
0.3335	0.255707
0.3665	0.3015166
0.4	0.3514885
0.4335	0.4034427
0.4665	0.4575987
0.5	0.5145574
0.5335	0.5742487
0.5665	0.6353172
0.6	0.699314
0.6335	0.7643964
0.6665	0.8311479
0.7	0.9036607
0.7335	0.9940043
0.7665	1.10922
0.8	1.361062
0.8335	1.752161
0.8665	2.202477
0.9	2.678781
0.9335	3.155091
0.9665	3.631484
1	4.116175
1.0335	4.597515
1.0665	5.077779
1.1	5.562424
1.1335	6.045372
1.1665	6.527832
1.2	7.011559
1.1665	6.802559
1.1335	6.556129
1.1	6.295868
1.0665	6.03258
1.0335	5.773148
1	5.511416
0.9665	5.246552
0.9335	4.986924
0.9	4.720875
0.8665	4.450589
0.8335	4.18706
0.8	3.913824
0.7665	3.643485
0.7335	3.376668
0.7	3.111998
0.6665	2.853638
0.6335	2.603839
0.6	2.360423
0.5665	2.126364
0.5335	1.942773
0.5	1.694011
0.4665	1.493383
0.4335	1.306193
0.4	1.13011
0.3665	0.9643828
0.3335	0.8136719
0.3	0.6734945
0.2665	0.5463242
0.2335	0.432732
0.2	0.3307124
0.1665	0.2400704
0.1335	0.1636167
0.1	0.09722994
0.0665	0.04084988
0.0335	-0.004074529
0	-0.04357595
-0.0335	-0.07023331
-0.0665	-0.09611106
