voltage	series1	series2	
-0.1	-0.04069737	-0.07142015
-0.0665	-0.03489961	-0.05224615
-0.0335	-0.02974669	-0.03381107
0	-0.02560352	-0.02488743
0.0335	-0.02173728	-0.02023843
0.0665	-0.0179227	-0.01933624
0.1	-0.01413821	-0.01732674
0.1335	-0.01028731	-0.0145783
0.1665	-0.005837831	-0.01125882
0.2	-0.001138445	-0.00757981
0.2335	0.003787789	-0.003098279
0.2665	0.008894582	0.001460606
0.3	0.01452009	0.006913222
0.3335	0.02002473	0.01337226
0.3665	0.02582818	0.01945329
0.4	0.03214591	0.02669381
0.4335	0.03898946	0.03467371
0.4665	0.04581288	0.04341072
0.5	0.05306237	0.0529184
0.5335	0.0604323	0.06304219
0.5665	0.06873186	0.07458735
0.6	0.07780911	0.08576444
0.6335	0.08739797	0.0979469
0.6665	0.100065	0.1188244
0.7	0.1180837	0.1502738
0.7335	0.1834228	0.2336829
0.7665	0.4385479	0.4658844
0.8	0.8702793	0.8869426
0.8335	1.171893	1.203946
0.8665	1.701636	1.775229
0.9	2.140079	2.264515
0.9335	2.554065	2.728581
0.9665	2.960325	3.17691
1	3.372652	3.629883
1.0335	3.784583	4.078593
1.0665	4.193258	4.525012
1.1	4.600734	4.972095
1.1335	5.00584	5.417096
1.1665	5.405413	5.853296
1.2	5.800594	6.291547
1.1665	5.661082	6.124063
1.1335	5.47441	5.916292
1.1	5.264346	5.690694
1.0665	5.035074	5.457768
1.0335	4.791885	5.222744
1	4.527664	4.978828
0.9665	4.247266	4.727301
0.9335	3.961778	4.473466
0.9	3.665245	4.209546
0.8665	3.363823	3.939064
0.8335	3.065088	3.673407
0.8	2.767074	3.400658
0.7665	2.476775	3.130969
0.7335	2.193607	2.866832
0.7	1.924295	2.604887
0.6665	1.671963	2.351926
0.6335	1.436482	2.11155
0.6	1.219346	1.882167
0.5665	1.024675	1.663747
0.5335	0.8502016	1.46109
0.5	0.7014433	1.271178
0.4665	0.5737215	1.095688
0.4335	0.4641144	0.9341337
0.4	0.369142	0.7880917
0.3665	0.2903478	0.6557021
0.3335	0.2249615	0.5380518
0.3	0.1706167	0.4321164
0.2665	0.1265173	0.3387469
0.2335	0.08981449	0.2583944
0.2	0.06055055	0.1896299
0.1665	0.03733424	0.1309424
0.1335	0.01947267	0.08287942
0.1	0.00503922	0.04369766
0.0665	-0.005887924	0.012208
0.0335	-0.01453613	-0.01122755
0	-0.01968816	-0.02935031
-0.0335	-0.02430302	-0.04300647
-0.0665	-0.02941819	-0.05924141
