voltage	series1	series2	series3	series4	
-0.1	-0.04069737	-0.07142015	-0.05884024	-0.09007572
-0.0665	-0.03489961	-0.05224615	-0.04813155	-0.06352609
-0.0335	-0.02974669	-0.03381107	-0.0387123	-0.03779526
0	-0.02560352	-0.02488743	-0.03202041	-0.01490973
0.0335	-0.02173728	-0.02023843	-0.02640041	0.007849082
0.0665	-0.0179227	-0.01933624	-0.02185209	0.03019896
0.1	-0.01413821	-0.01732674	-0.01682731	0.0537013
0.1335	-0.01028731	-0.0145783	-0.01131434	0.08059742
0.1665	-0.005837831	-0.01125882	-0.005429895	0.1113212
0.2	-0.001138445	-0.00757981	0.001284719	0.148157
0.2335	0.003787789	-0.003098279	0.008148641	0.1915436
0.2665	0.008894582	0.001460606	0.01639026	0.2433524
0.3	0.01452009	0.006913222	0.0242934	0.3053723
0.3335	0.02002473	0.01337226	0.03343435	0.3774916
0.3665	0.02582818	0.01945329	0.04326427	0.459768
0.4	0.03214591	0.02669381	0.0540438	0.5520388
0.4335	0.03898946	0.03467371	0.06593526	0.6538833
0.4665	0.04581288	0.04341072	0.0787555	0.7633897
0.5	0.05306237	0.0529184	0.09307482	0.8807831
0.5335	0.0604323	0.06304219	0.1093834	1.003728
0.5665	0.06873186	0.07458735	0.1250773	1.117408
0.6	0.07780911	0.08576444	0.1422157	1.264874
0.6335	0.08739797	0.0979469	0.1609082	1.407804
0.6665	0.100065	0.1188244	0.1832022	1.554059
0.7	0.1180837	0.1502738	0.2169486	1.707801
0.7335	0.1834228	0.2336829	0.2899416	1.866715
0.7665	0.4385479	0.4658844	0.4908724	2.035785
0.8	0.8702793	0.8869426	0.9175842	2.230538
0.8335	1.171893	1.203946	1.235345	2.492503
0.8665	1.701636	1.775229	1.900842	2.885062
0.9	2.140079	2.264515	2.455172	3.357279
0.9335	2.554065	2.728581	2.974212	3.834335
0.9665	2.960325	3.17691	3.468742	4.302444
1	3.372652	3.629883	3.962332	4.780629
1.0335	3.784583	4.078593	4.447388	5.254764
1.0665	4.193258	4.525012	4.926676	5.732548
1.1	4.600734	4.972095	5.405348	6.216181
1.1335	5.00584	5.417096	5.877719	6.698785
1.1665	5.405413	5.853296	6.346121	7.182618
1.2	5.800594	6.291547	6.812775	7.667295
1.1665	5.661082	6.124063	6.630686	7.49361
1.1335	5.47441	5.916292	6.408442	7.264423
1.1	5.264346	5.690694	6.169202	7.010369
1.0665	5.035074	5.457768	5.925411	6.741825
1.0335	4.791885	5.222744	5.679732	6.463586
1	4.527664	4.978828	5.425686	6.168806
0.9665	4.247266	4.727301	5.160779	5.858698
0.9335	3.961778	4.473466	4.896282	5.542323
0.9	3.665245	4.209546	4.617823	5.213052
0.8665	3.363823	3.939064	4.326877	4.878742
0.8335	3.065088	3.673407	4.036475	4.55077
0.8	2.767074	3.400658	3.733534	4.216197
0.7665	2.476775	3.130969	3.428913	3.88993
0.7335	2.193607	2.866832	3.127233	3.574028
0.7	1.924295	2.604887	2.827322	3.267084
0.6665	1.671963	2.351926	2.534473	2.969471
0.6335	1.436482	2.11155	2.25606	2.687596
0.6	1.219346	1.882167	1.987551	2.419672
0.5665	1.024675	1.663747	1.734593	2.167118
0.5335	0.8502016	1.46109	1.50342	1.928625
0.5	0.7014433	1.271178	1.289266	1.701704
0.4665	0.5737215	1.095688	1.094937	1.490247
0.4335	0.4641144	0.9341337	0.9185832	1.296675
0.4	0.369142	0.7880917	0.7615154	1.114368
0.3665	0.2903478	0.6557021	0.6227248	0.9446531
0.3335	0.2249615	0.5380518	0.4997065	0.793217
0.3	0.1706167	0.4321164	0.3933958	0.6556985
0.2665	0.1265173	0.3387469	0.3015453	0.5307775
0.2335	0.08981449	0.2583944	0.2249433	0.4217057
0.2	0.06055055	0.1896299	0.1601737	0.3242115
0.1665	0.03733424	0.1309424	0.1065345	0.2394371
0.1335	0.01947267	0.08287942	0.06394957	0.169244
0.1	0.00503922	0.04369766	0.0300169	0.1090671
0.0665	-0.005887924	0.012208	0.003501482	0.05877597
0.0335	-0.01453613	-0.01122755	-0.01657705	0.01902457
0	-0.01968816	-0.02935031	-0.03030844	-0.01388293
-0.0335	-0.02430302	-0.04300647	-0.04125648	-0.04091082
-0.0665	-0.02941819	-0.05924141	-0.05217942	-0.06787597
