voltage	series1	
-0.1	-0.2879546
-0.0665	-0.1896404
-0.0335	-0.168419
0	-0.1485601
0.0335	-0.1268162
0.0665	-0.1025224
0.1	-0.07511935
0.1335	-0.04013064
0.1665	-0.001526052
0.2	0.04754677
0.2335	0.09113408
0.2665	0.1474399
0.3	0.2038642
0.3335	0.2693379
0.3665	0.3378246
0.4	0.4118348
0.4335	0.4892873
0.4665	0.5701062
0.5	0.6547428
0.5335	0.7425143
0.5665	0.831542
0.6	0.9241214
0.6335	1.018155
0.6665	1.112364
0.7	1.212212
0.7335	1.315599
0.7665	1.422764
0.8	1.535424
0.8335	1.657095
0.8665	1.787561
0.9	1.947482
0.9335	2.153979
0.9665	2.420667
1	2.763222
1.0335	3.158588
1.0665	3.597292
1.1	4.068746
1.1335	4.564422
1.1665	5.074972
1.2	5.602349
1.1665	5.214826
1.1335	4.819187
1.1	4.417628
1.0665	4.024129
1.0335	3.647112
1	3.285018
0.9665	2.941899
0.9335	2.636081
0.9	2.357146
0.8665	2.115007
0.8335	1.910266
0.8	1.724605
0.7665	1.567968
0.7335	1.439367
0.7	1.332767
0.6665	1.240614
0.6335	1.158068
0.6	1.077819
0.5665	0.9992484
0.5335	0.9181402
0.5	0.8364122
0.4665	0.7535138
0.4335	0.6715545
0.4	0.5898243
0.3665	0.5093645
0.3335	0.4318592
0.3	0.3563579
0.2665	0.2840045
0.2335	0.2158936
0.2	0.151245
0.1665	0.0911333
0.1335	0.03625517
0.1	-0.01406024
0.0665	-0.05973832
0.0335	-0.09926709
0	-0.1467369
-0.0335	-0.1666794
-0.0665	-0.1925952
