voltage	series1	series2	series3	series4	series5	series6	series7	series8
-0.1	-0.2879546	-0.1965173	-0.1634312	-0.185807	-0.2012936	-0.2417464	-0.1242876	-0.2138036
-0.0665	-0.1896404	-0.1686384	-0.1375723	-0.1445	-0.1611451	-0.1961146	-0.09382615	-0.159089
-0.0335	-0.168419	-0.148475	-0.1187791	-0.1092162	-0.1301837	-0.1608157	-0.0716866	-0.1086733
0	-0.1485601	-0.1293178	-0.1025675	-0.07619712	-0.1035244	-0.1353101	-0.0554402	-0.06176488
0.0335	-0.1268162	-0.1119109	-0.09255404	-0.04094969	-0.08094909	-0.1141062	-0.04135091	-0.01138075
0.0665	-0.1025224	-0.09795127	-0.08178161	-0.007579529	-0.05796778	-0.09560882	-0.03730742	0.03483273
0.1	-0.07511935	-0.07572724	-0.07055866	0.03456435	-0.03037722	-0.06296799	-0.03063874	0.09240178
0.1335	-0.04013064	-0.0521513	-0.05717259	0.08154233	0.002468905	-0.02870921	-0.01889515	0.1578662
0.1665	-0.001526052	-0.02619327	-0.0398003	0.1345748	0.04114387	0.01037453	-0.005230304	0.2381459
0.2	0.04754677	0.004855674	-0.02080359	0.1990144	0.08291247	0.05443391	0.01225551	0.3309477
0.2335	0.09113408	0.04370682	0.002124908	0.2710497	0.1299772	0.1013039	0.0299554	0.4347742
0.2665	0.1474399	0.07612447	0.0278013	0.3508597	0.1828501	0.1488222	0.05028704	0.549223
0.3	0.2038642	0.1210303	0.05231277	0.4393	0.2420125	0.2067091	0.07327896	0.6754589
0.3335	0.2693379	0.1656073	0.08214465	0.53505	0.3048402	0.2655142	0.09776249	0.8126602
0.3665	0.3378246	0.2149205	0.1150077	0.637862	0.3718384	0.3277298	0.1246711	0.9579762
0.4	0.4118348	0.2689596	0.1489901	0.7478353	0.4431868	0.3925339	0.1532427	1.100835
0.4335	0.4892873	0.3249538	0.1861583	0.8640169	0.5192438	0.4606049	0.1835607	1.275828
0.4665	0.5701062	0.3840095	0.2253959	0.9838113	0.597798	0.5306182	0.2152084	1.445022
0.5	0.6547428	0.4456456	0.2665724	1.098873	0.6791371	0.6022793	0.2488428	1.620837
0.5335	0.7425143	0.5099651	0.307417	1.236243	0.7639698	0.6770884	0.2831331	1.801847
0.5665	0.831542	0.5748824	0.3522228	1.368828	0.8487108	0.7513924	0.3178132	1.984503
0.6	0.9241214	0.6413995	0.3957314	1.503541	0.9354762	0.8269085	0.3537097	2.171526
0.6335	1.018155	0.7090502	0.4410803	1.640222	1.023441	0.9010084	0.3890209	2.362003
0.6665	1.112364	0.7780528	0.486336	1.777372	1.108433	0.9742329	0.4271012	2.551472
0.7	1.212212	0.8509415	0.5352981	1.917837	1.200888	1.052063	0.4741974	2.744042
0.7335	1.315599	0.9292869	0.5956934	2.058733	1.297211	1.140397	0.5427024	2.937738
0.7665	1.422764	1.014895	0.6742644	2.201012	1.409826	1.250018	0.666509	3.131869
0.8	1.535424	1.111676	0.7928392	2.34788	1.569726	1.413938	0.9038247	3.33162
0.8335	1.657095	1.239305	0.9806653	2.505433	1.829106	1.681073	1.21868	3.545958
0.8665	1.787561	1.398393	1.209177	2.674487	2.178477	2.043698	1.726041	3.790518
0.9	1.947482	1.623565	1.60448	2.887136	2.597782	2.487264	2.288454	4.111316
0.9335	2.153979	1.927549	2.052598	3.148144	3.071904	2.977132	2.880718	4.511194
0.9665	2.420667	2.313415	2.556918	3.455353	3.574166	3.489655	3.485318	4.962949
1	2.763222	2.78272	3.120475	3.814655	4.110243	4.033661	4.116827	5.462103
1.0335	3.158588	3.303953	3.710163	4.210572	4.662339	4.588979	4.752906	5.987667
1.0665	3.597292	3.858097	4.312875	4.63933	5.224932	5.149751	5.380981	6.526908
1.1	4.068746	4.443841	4.926939	5.087419	5.803021	5.719913	6.015644	7.090669
1.1335	4.564422	5.04558	5.544721	5.562424	6.388967	6.292663	6.652946	7.664267
1.1665	5.074972	5.650977	6.161477	6.031046	6.976515	6.866277	7.280537	8.24428
1.2	5.602349	6.260604	6.776172	6.514121	7.575074	7.447479	7.912426	8.838986
1.1665	5.214826	5.829651	6.303184	6.187534	7.23193	7.000297	7.510783	8.537997
1.1335	4.819187	5.37811	5.81585	5.863406	6.865523	6.543955	7.096002	8.208945
1.1	4.417628	4.919477	5.317213	5.522973	6.487459	6.084697	6.671538	7.858273
1.0665	4.024129	4.464363	4.829115	5.192029	6.105709	5.634414	6.249265	7.510213
1.0335	3.647112	4.021323	4.355128	4.874531	5.729549	5.202607	5.842988	7.166964
1	3.285018	3.591899	3.895405	4.571615	5.361713	4.787503	5.450243	6.831517
0.9665	2.941899	3.180338	3.455736	4.282753	5.002755	4.39331	5.073084	6.498281
0.9335	2.636081	2.81134	3.060307	4.016703	4.668977	4.038455	4.727074	6.185478
0.9	2.357146	2.474424	2.695845	3.760949	4.350192	3.7078	4.401532	5.870724
0.8665	2.115007	2.17837	2.370936	3.5228	4.051691	3.407169	4.098268	5.563291
