voltage	series1	series2	series3	
-0.1	-0.1634312	-0.185807	-0.2012936
-0.0665	-0.1375723	-0.1445	-0.1611451
-0.0335	-0.1187791	-0.1092162	-0.1301837
0	-0.1025675	-0.07619712	-0.1035244
0.0335	-0.09255404	-0.04094969	-0.08094909
0.0665	-0.08178161	-0.007579529	-0.05796778
0.1	-0.07055866	0.03456435	-0.03037722
0.1335	-0.05717259	0.08154233	0.002468905
0.1665	-0.0398003	0.1345748	0.04114387
0.2	-0.02080359	0.1990144	0.08291247
0.2335	0.002124908	0.2710497	0.1299772
0.2665	0.0278013	0.3508597	0.1828501
0.3	0.05231277	0.4393	0.2420125
0.3335	0.08214465	0.53505	0.3048402
0.3665	0.1150077	0.637862	0.3718384
0.4	0.1489901	0.7478353	0.4431868
0.4335	0.1861583	0.8640169	0.5192438
0.4665	0.2253959	0.9838113	0.597798
0.5	0.2665724	1.098873	0.6791371
0.5335	0.307417	1.236243	0.7639698
0.5665	0.3522228	1.368828	0.8487108
0.6	0.3957314	1.503541	0.9354762
0.6335	0.4410803	1.640222	1.023441
0.6665	0.486336	1.777372	1.108433
0.7	0.5352981	1.917837	1.200888
0.7335	0.5956934	2.058733	1.297211
0.7665	0.6742644	2.201012	1.409826
0.8	0.7928392	2.34788	1.569726
0.8335	0.9806653	2.505433	1.829106
0.8665	1.209177	2.674487	2.178477
0.9	1.60448	2.887136	2.597782
0.9335	2.052598	3.148144	3.071904
0.9665	2.556918	3.455353	3.574166
1	3.120475	3.814655	4.110243
1.0335	3.710163	4.210572	4.662339
1.0665	4.312875	4.63933	5.224932
1.1	4.926939	5.087419	5.803021
1.1335	5.544721	5.562424	6.388967
1.1665	6.161477	6.031046	6.976515
1.2	6.776172	6.514121	7.575074
1.1665	6.303184	6.187534	7.23193
1.1335	5.81585	5.863406	6.865523
1.1	5.317213	5.522973	6.487459
1.0665	4.829115	5.192029	6.105709
1.0335	4.355128	4.874531	5.729549
1	3.895405	4.571615	5.361713
0.9665	3.455736	4.282753	5.002755
0.9335	3.060307	4.016703	4.668977
0.9	2.695845	3.760949	4.350192
0.8665	2.370936	3.5228	4.051691
0.8335	2.099407	3.308049	3.779054
0.8	1.867418	3.105303	3.518019
0.7665	1.681503	2.912207	3.276714
0.7335	1.534136	2.72753	3.045948
0.7	1.408639	2.547038	2.819861
0.6665	1.296401	2.369853	2.595457
0.6335	1.189046	2.195754	2.378199
0.6	1.083081	2.025	2.163128
0.5665	0.9785264	1.85793	1.953885
0.5335	0.8755711	1.693575	1.753328
0.5	0.7752252	1.533884	1.558536
0.4665	0.6792529	1.377835	1.373172
0.4335	0.5875399	1.226569	1.197425
0.4	0.5002818	1.080278	1.029345
0.3665	0.4193068	0.9396706	0.8707715
0.3335	0.343218	0.8061136	0.7239399
0.3	0.272617	0.6784177	0.5875938
0.2665	0.207792	0.5581488	0.463376
0.2335	0.1479429	0.4468022	0.3502248
0.2	0.09480688	0.3433811	0.2479911
0.1665	0.04544649	0.2472998	0.1565486
0.1335	0.003007694	0.1627471	0.07854086
0.1	-0.03656124	0.08677463	0.008437361
0.0665	-0.06616251	0.01810318	-0.05217283
0.0335	-0.09414854	-0.03956218	-0.09782103
0	-0.1259469	-0.09053941	-0.1472725
-0.0335	-0.1384709	-0.1385752	-0.1742979
-0.0665	-0.1580641	-0.1724113	-0.2041028
