voltage	series1	series2	
-0.1	-0.2417464	-0.1242876
-0.0665	-0.1961146	-0.09382615
-0.0335	-0.1608157	-0.0716866
0	-0.1353101	-0.0554402
0.0335	-0.1141062	-0.04135091
0.0665	-0.09560882	-0.03730742
0.1	-0.06296799	-0.03063874
0.1335	-0.02870921	-0.01889515
0.1665	0.01037453	-0.005230304
0.2	0.05443391	0.01225551
0.2335	0.1013039	0.0299554
0.2665	0.1488222	0.05028704
0.3	0.2067091	0.07327896
0.3335	0.2655142	0.09776249
0.3665	0.3277298	0.1246711
0.4	0.3925339	0.1532427
0.4335	0.4606049	0.1835607
0.4665	0.5306182	0.2152084
0.5	0.6022793	0.2488428
0.5335	0.6770884	0.2831331
0.5665	0.7513924	0.3178132
0.6	0.8269085	0.3537097
0.6335	0.9010084	0.3890209
0.6665	0.9742329	0.4271012
0.7	1.052063	0.4741974
0.7335	1.140397	0.5427024
0.7665	1.250018	0.666509
0.8	1.413938	0.9038247
0.8335	1.681073	1.21868
0.8665	2.043698	1.726041
0.9	2.487264	2.288454
0.9335	2.977132	2.880718
0.9665	3.489655	3.485318
1	4.033661	4.116827
1.0335	4.588979	4.752906
1.0665	5.149751	5.380981
1.1	5.719913	6.015644
1.1335	6.292663	6.652946
1.1665	6.866277	7.280537
1.2	7.447479	7.912426
1.1665	7.000297	7.510783
1.1335	6.543955	7.096002
1.1	6.084697	6.671538
1.0665	5.634414	6.249265
1.0335	5.202607	5.842988
1	4.787503	5.450243
0.9665	4.39331	5.073084
0.9335	4.038455	4.727074
0.9	3.7078	4.401532
0.8665	3.407169	4.098268
0.8335	3.142692	3.822465
0.8	2.899169	3.555955
0.7665	2.678744	3.303007
0.7335	2.471901	3.058452
0.7	2.270248	2.815851
0.6665	2.073216	2.576514
0.6335	1.884907	2.34581
0.6	1.701607	2.12007
0.5665	1.525035	1.902859
0.5335	1.359487	1.694028
0.5	1.199937	1.494223
0.4665	1.049835	1.305415
0.4335	0.9098517	1.12857
0.4	0.7767436	0.9617136
0.3665	0.6525462	0.8071194
0.3335	0.5379954	0.6657541
0.3	0.4308985	0.5368835
0.2665	0.3326904	0.4210144
0.2335	0.24408	0.3191604
0.2	0.1637069	0.2283581
0.1665	0.09157472	0.1493424
0.1335	0.02908256	0.08372217
0.1	-0.02637882	0.02757237
0.0665	-0.07464261	-0.02005308
0.0335	-0.1184011	-0.05659854
0	-0.148818	-0.08735862
-0.0335	-0.1791368	-0.1162422
-0.0665	-0.2053931	-0.1399653
