voltage	series1	
-0.1	-0.0398677
-0.0665	-0.02589926
-0.0335	-0.01312772
0	-6.810202E-05
0.0335	0.01412215
0.0665	0.02871326
0.1	0.04523131
0.1335	0.0633641
0.1665	0.08309448
0.2	0.1059456
0.2335	0.1305279
0.2665	0.1576349
0.3	0.1876594
0.3335	0.2204655
0.3665	0.255733
0.4	0.2941925
0.4335	0.3352028
0.4665	0.3788988
0.5	0.4253753
0.5335	0.4745217
0.5665	0.5258264
0.6	0.5799272
0.6335	0.6362036
0.6665	0.6942825
0.7	0.7549257
0.7335	0.8177907
0.7665	0.8827084
0.8	0.9520653
0.8335	1.024898
0.8665	1.099524
0.9	1.172771
0.9335	1.249337
0.9665	1.325426
1	1.404511
1.0335	1.482836
1.0665	1.561744
1.1	1.641735
1.1335	1.724149
1.1665	1.809485
1.2	1.89941
1.1665	1.833817
1.1335	1.765692
1.1	1.697257
1.0665	1.630454
1.0335	1.565258
1	1.500969
0.9665	1.437779
0.9335	1.376896
0.9	1.315624
0.8665	1.254126
0.8335	1.194878
0.8	1.134291
0.7665	1.074716
0.7335	1.016334
0.7	0.9585132
0.6665	0.9008063
0.6335	0.8450103
0.6	0.7887666
0.5665	0.7329293
0.5335	0.6781854
0.5	0.623452
0.4665	0.5696497
0.4335	0.5171376
0.4	0.4651275
0.3665	0.4144163
0.3335	0.3655147
0.3	0.3177496
0.2665	0.2718741
0.2335	0.2284424
0.2	0.1871452
0.1665	0.1479947
0.1335	0.1126782
0.1	0.07971244
0.0665	0.04977136
0.0335	0.0238809
0	0.0003028865
-0.0335	-0.02054199
-0.0665	-0.03701797
