voltage	series1	series2	
-0.1	-0.0398677	-0.01925615
-0.0665	-0.02589926	-0.01258228
-0.0335	-0.01312772	-0.006416245
0	-6.810202E-05	-4.101787E-05
0.0335	0.01412215	0.006929363
0.0665	0.02871326	0.01375431
0.1	0.04523131	0.02148063
0.1335	0.0633641	0.02984051
0.1665	0.08309448	0.0388503
0.2	0.1059456	0.04901618
0.2335	0.1305279	0.06018312
0.2665	0.1576349	0.07245105
0.3	0.1876594	0.08611316
0.3335	0.2204655	0.1012366
0.3665	0.255733	0.1167017
0.4	0.2941925	0.13526
0.4335	0.3352028	0.1553643
0.4665	0.3788988	0.1769061
0.5	0.4253753	0.2003179
0.5335	0.4745217	0.2255164
0.5665	0.5258264	0.2523117
0.6	0.5799272	0.2810135
0.6335	0.6362036	0.3112544
0.6665	0.6942825	0.3431372
0.7	0.7549257	0.3772451
0.7335	0.8177907	0.4139182
0.7665	0.8827084	0.4547352
0.8	0.9520653	0.5019447
0.8335	1.024898	0.5545678
0.8665	1.099524	0.6067869
0.9	1.172771	0.6597051
0.9335	1.249337	0.712027
0.9665	1.325426	0.7635899
1	1.404511	0.8162271
1.0335	1.482836	0.8698191
1.0665	1.561744	0.9240219
1.1	1.641735	0.9834538
1.1335	1.724149	1.049775
1.1665	1.809485	1.124417
1.2	1.89941	1.211877
1.1665	1.833817	1.153796
1.1335	1.765692	1.095835
1.1	1.697257	1.038439
1.0665	1.630454	0.9856366
1.0335	1.565258	0.936574
1	1.500969	0.8910558
0.9665	1.437779	0.8482755
0.9335	1.376896	0.8096345
0.9	1.315624	0.7729873
0.8665	1.254126	0.7369819
0.8335	1.194878	0.7029782
0.8	1.134291	0.6677835
0.7665	1.074716	0.6336424
0.7335	1.016334	0.6000742
0.7	0.9585132	0.566631
0.6665	0.9008063	0.5341762
0.6335	0.8450103	0.5022945
0.6	0.7887666	0.4702403
0.5665	0.7329293	0.4381554
0.5335	0.6781854	0.4067494
0.5	0.623452	0.3750348
0.4665	0.5696497	0.3435211
0.4335	0.5171376	0.3124864
0.4	0.4651275	0.2820083
0.3665	0.4144163	0.2517998
0.3335	0.3655147	0.2226697
0.3	0.3177496	0.1939881
0.2665	0.2718741	0.1663019
0.2335	0.2284424	0.1400711
0.2	0.1871452	0.1149231
0.1665	0.1479947	0.09101083
0.1335	0.1126782	0.0693947
0.1	0.07971244	0.04920932
0.0665	0.04977136	0.03072683
0.0335	0.0238809	0.01471653
0	0.0003028865	0.0002006178
-0.0335	-0.02054199	-0.01274465
-0.0665	-0.03701797	-0.02281201
