voltage	series1	series2	series3	series4	series5	series6	series7	
-0.1	-0.0398677	-0.01925615	-0.06300095	-0.04023407	-0.03278106	-0.01468159	-0.08439576
-0.0665	-0.02589926	-0.01258228	-0.04134623	-0.02647019	-0.02183837	-0.009784815	-0.05592489
-0.0335	-0.01312772	-0.006416245	-0.02113722	-0.01354862	-0.01131597	-0.005016348	-0.02895962
0	-6.810202E-05	-4.101787E-05	-8.669709E-05	-7.545302E-05	-6.359508E-05	-3.052032E-05	-0.0001251781
0.0335	0.01412215	0.006929363	0.0229559	0.01476542	0.01262699	0.005620966	0.03190185
0.0665	0.02871326	0.01375431	0.04701696	0.03019714	0.02619294	0.01127248	0.06674275
0.1	0.04523131	0.02148063	0.07420901	0.04765908	0.04188749	0.01779659	0.106891
0.1335	0.0633641	0.02984051	0.1042485	0.06695135	0.05954791	0.02500973	0.1517093
0.1665	0.08309448	0.0388503	0.1339036	0.0882145	0.07927961	0.03290388	0.2018465
0.2	0.1059456	0.04901618	0.1736424	0.1122665	0.102313	0.04197726	0.2603873
0.2335	0.1305279	0.06018312	0.216426	0.1400076	0.1249696	0.0520568	0.3264576
0.2665	0.1576349	0.07245105	0.2636649	0.1706332	0.1559914	0.06319248	0.4004674
0.3	0.1876594	0.08611316	0.3167487	0.2051175	0.1889928	0.07569883	0.4838477
0.3335	0.2204655	0.1012366	0.3757296	0.2434872	0.2255948	0.08949269	0.5768363
0.3665	0.255733	0.1167017	0.4401555	0.2855847	0.2654802	0.1045445	0.6781799
0.4	0.2941925	0.13526	0.5111796	0.3321557	0.3094828	0.1189636	0.7899161
0.4335	0.3352028	0.1553643	0.5886127	0.3829788	0.3571024	0.1380058	0.9111244
0.4665	0.3788988	0.1769061	0.6715551	0.4374151	0.4080362	0.1572388	1.039962
0.5	0.4253753	0.2003179	0.7611732	0.4964338	0.4626732	0.1778117	1.147838
0.5335	0.4745217	0.2255164	0.8565961	0.5595554	0.5208121	0.1995732	1.314883
0.5665	0.5258264	0.2523117	0.9571943	0.6258455	0.581452	0.2223072	1.471562
0.6	0.5799272	0.2810135	1.064346	0.6966881	0.6453957	0.246097	1.634128
0.6335	0.6362036	0.3112544	1.174694	0.7707921	0.7119914	0.271038	1.801252
0.6665	0.6942825	0.3431372	1.289417	0.8477345	0.7804323	0.2969166	1.972988
0.7	0.7549257	0.3772451	1.409218	0.9277942	0.8515779	0.3241217	2.150584
0.7335	0.8177907	0.4139182	1.532633	1.01091	0.9248764	0.3540225	2.331672
0.7665	0.8827084	0.4547352	1.658522	1.093007	1.00033	0.3875453	2.514623
0.8	0.9520653	0.5019447	1.787815	1.183513	1.078349	0.4265658	2.701911
0.8335	1.024898	0.5545678	1.922781	1.279253	1.16437	0.4681532	2.892915
0.8665	1.099524	0.6067869	2.058326	1.375679	1.250613	0.5073742	3.081915
0.9	1.172771	0.6597051	2.199532	1.475948	1.338943	0.5463583	3.277825
0.9335	1.249337	0.712027	2.341516	1.575147	1.426699	0.5840431	3.474588
0.9665	1.325426	0.7635899	2.481293	1.67347	1.513201	0.6202371	3.668059
1	1.404511	0.8162271	2.624303	1.774471	1.602628	0.6569516	3.866612
1.0335	1.482836	0.8698191	2.7672	1.874799	1.689729	0.6922797	4.06429
1.0665	1.561744	0.9240219	2.907949	1.974941	1.776283	0.7274699	4.259972
1.1	1.641735	0.9834538	3.049981	2.075636	1.863988	0.7650993	4.456255
1.1335	1.724149	1.049775	3.191188	2.176914	1.953898	0.805298	4.651513
1.1665	1.809485	1.124417	3.330949	2.278509	2.047168	0.8527794	4.842508
1.2	1.89941	1.211877	3.472298	2.386926	2.145149	0.9093593	5.034756
1.1665	1.833817	1.153796	3.37605	2.310084	2.070824	0.8677809	4.889889
1.1335	1.765692	1.095835	3.277341	2.232944	1.993978	0.8261754	4.738128
1.1	1.697257	1.038439	3.173224	2.154315	1.916873	0.7863047	4.581432
1.0665	1.630454	0.9856366	3.068394	2.07657	1.840623	0.7487456	4.421642
1.0335	1.565258	0.936574	2.964393	2.000887	1.766993	0.7134206	4.263969
1	1.500969	0.8910558	2.857352	1.924721	1.693227	0.6807814	4.103598
0.9665	1.437779	0.8482755	2.748155	1.848878	1.620327	0.6494835	3.941856
