voltage	series1	
-0.1	-0.03500609
-0.07	-0.0302858
-0.04	-0.02743693
-0.01	-0.02467006
0.02	-0.02226152
0.05	-0.0201892
0.08	-0.01766653
0.11	-0.01448688
0.14	-0.01077131
0.17	-0.006623071
0.2	-0.001344578
0.23	0.004498831
0.26	0.01125178
0.29	0.01839295
0.32	0.02639401
0.35	0.03529533
0.38	0.04476086
0.41	0.05496098
0.44	0.06574752
0.47	0.0772229
0.5	0.08920515
0.53	0.1015245
0.56	0.1133537
0.59	0.1261342
0.62	0.1382619
0.65	0.1499634
0.68	0.1618553
0.71	0.1743362
0.74	0.188474
0.77	0.2051117
0.8	0.2245511
0.83	0.2468632
0.86	0.2746267
0.89	0.3149404
0.92	0.3751113
0.95	0.4610214
0.98	0.5726147
1.01	0.7083414
1.04	0.8663224
1.07	1.045635
1.1	1.217371
1.13	1.441794
1.1	1.338926
1.07	1.217901
1.04	1.087813
1.01	0.958799
0.98	0.8341802
0.95	0.7171417
0.92	0.6093343
0.89	0.512206
0.86	0.4270811
0.83	0.3592298
0.8	0.3102377
0.77	0.2762307
0.74	0.2509008
0.71	0.2300258
0.68	0.2113982
0.65	0.1940979
0.62	0.1778917
0.59	0.1626988
0.56	0.1480464
0.53	0.1340569
0.5	0.1205332
0.47	0.1074484
0.44	0.0950005
0.41	0.0828806
0.38	0.07127153
0.35	0.0602236
0.32	0.04975958
0.29	0.03971544
0.26	0.03032658
0.23	0.02153051
0.2	0.01334915
0.17	0.00594274
0.14	-0.0008460399
0.11	-0.007871909
0.08	-0.01319179
0.05	-0.01762482
0.02	-0.02209749
-0.01	-0.02615042
-0.04	-0.029843
-0.07	-0.03396475
-0.1	-0.04225803
