voltage	series1	series2	
-0.1	-0.03500609	-0.9046184
-0.07	-0.0302858	-0.6215624
-0.04	-0.02743693	-0.3477608
-0.01	-0.02467006	-0.07883217
0.02	-0.02226152	0.2152423
0.05	-0.0201892	0.501689
0.08	-0.01766653	0.7889044
0.11	-0.01448688	1.073504
0.14	-0.01077131	1.359871
0.17	-0.006623071	1.641744
0.2	-0.001344578	1.92437
0.23	0.004498831	2.205384
0.26	0.01125178	2.485866
0.29	0.01839295	2.747592
0.32	0.02639401	3.024887
0.35	0.03529533	3.298542
0.38	0.04476086	3.576594
0.41	0.05496098	3.811872
0.44	0.06574752	4.048781
0.47	0.0772229	4.16479
0.5	0.08920515	3.68982
0.53	0.1015245	3.251411
0.56	0.1133537	2.984527
0.59	0.1261342	2.810329
0.62	0.1382619	2.392329
0.65	0.1499634	2.051131
0.68	0.1618553	1.805617
0.71	0.1743362	1.747568
0.74	0.188474	1.596308
0.77	0.2051117	1.521353
0.8	0.2245511	1.556272
0.83	0.2468632	1.605807
0.86	0.2746267	1.620575
0.89	0.3149404	1.658396
0.92	0.3751113	1.754424
0.95	0.4610214	1.727351
0.98	0.5726147	1.814377
1.01	0.7083414	1.903028
1.04	0.8663224	2.06441
1.07	1.045635	2.146114
1.1	1.217371	2.224299
1.13	1.441794	2.374375
1.1	1.338926	2.166993
1.07	1.217901	2.000671
1.04	1.087813	1.844158
1.01	0.958799	1.703901
0.98	0.8341802	1.595118
0.95	0.7171417	1.473904
0.92	0.6093343	1.384437
0.89	0.512206	1.301581
0.86	0.4270811	1.214521
0.83	0.3592298	1.139711
0.8	0.3102377	1.09187
0.77	0.2762307	1.018063
0.74	0.2509008	0.9432461
0.71	0.2300258	0.890162
0.68	0.2113982	0.8314293
0.65	0.1940979	0.7734569
0.62	0.1778917	0.7299555
0.59	0.1626988	0.6851784
0.56	0.1480464	0.6288814
0.53	0.1340569	0.5883342
0.5	0.1205332	0.5316277
0.47	0.1074484	0.498086
0.44	0.0950005	0.4566725
0.41	0.0828806	0.4132419
0.38	0.07127153	0.3739441
0.35	0.0602236	0.3400227
0.32	0.04975958	0.2978916
0.29	0.03971544	0.2592293
0.26	0.03032658	0.2213469
0.23	0.02153051	0.1915442
0.2	0.01334915	0.1555015
0.17	0.00594274	0.1253928
0.14	-0.0008460399	0.0948672
0.11	-0.007871909	0.07167453
0.08	-0.01319179	0.04412181
0.05	-0.01762482	0.019652
0.02	-0.02209749	-0.003426845
-0.01	-0.02615042	-0.05860607
-0.04	-0.029843	-0.2315243
-0.07	-0.03396475	-0.4106628
-0.1	-0.04225803	-0.5883734
