voltage	series1	series2	series3	series4	series5	series6	series7	
-0.1	-0.03500609	-0.9046184	-0.5711816	-0.05814017	-0.04218645	-0.05724107	-0.06544674
-0.07	-0.0302858	-0.6215624	-0.3979237	-0.04747223	-0.03600147	-0.04678444	-0.05451791
-0.04	-0.02743693	-0.3477608	-0.2258228	-0.03696312	-0.03100588	-0.0369091	-0.04383774
-0.01	-0.02467006	-0.07883217	-0.05647088	-0.02699473	-0.02644683	-0.02809085	-0.03438003
0.02	-0.02226152	0.2152423	0.150381	-0.01636597	-0.02197321	-0.01889053	-0.02432408
0.05	-0.0201892	0.501689	0.3540248	-0.00819138	-0.01843413	-0.01176155	-0.01654477
0.08	-0.01766653	0.7889044	0.5587791	0.001844541	-0.01421881	-0.003668439	-0.007874358
0.11	-0.01448688	1.073504	0.764996	0.01362283	-0.009427161	0.00627731	0.002940722
0.14	-0.01077131	1.359871	0.9705913	0.02668724	-0.003504305	0.01693446	0.01475653
0.17	-0.006623071	1.641744	1.271429	0.04180574	0.00292323	0.02911145	0.02797205
0.2	-0.001344578	1.92437	1.48362	0.05902195	0.01024849	0.0427667	0.04273932
0.23	0.004498831	2.205384	1.694084	0.07851825	0.01833791	0.05770595	0.05915281
0.26	0.01125178	2.485866	1.888434	0.1002432	0.02716179	0.07418313	0.07731366
0.29	0.01839295	2.747592	2.080975	0.121667	0.03754317	0.09226198	0.09721339
0.32	0.02639401	3.024887	2.190674	0.1500525	0.04887487	0.1114393	0.1172177
0.35	0.03529533	3.298542	2.26549	0.1794145	0.06122767	0.1330269	0.1415486
0.38	0.04476086	3.576594	2.002268	0.2108776	0.07462048	0.1557382	0.1664876
0.41	0.05496098	3.811872	2.032038	0.2442983	0.08900052	0.1797595	0.1928249
0.44	0.06574752	4.048781	1.941864	0.2797942	0.1043771	0.2049155	0.2204683
0.47	0.0772229	4.16479	1.661946	0.31733	0.1184856	0.2312087	0.2492723
0.5	0.08920515	3.68982	1.32592	0.3562965	0.13674	0.2584753	0.2790139
0.53	0.1015245	3.251411	1.320665	0.3965426	0.1547664	0.286523	0.309812
0.56	0.1133537	2.984527	1.361722	0.4378101	0.1729541	0.3150413	0.3405283
0.59	0.1261342	2.810329	1.537294	0.4797691	0.191257	0.3436813	0.3717642
0.62	0.1382619	2.392329	1.670866	0.5217588	0.2096977	0.3723592	0.4030139
0.65	0.1499634	2.051131	1.627875	0.5639343	0.2281614	0.4008948	0.4340252
0.68	0.1618553	1.805617	1.599735	0.6060445	0.2467222	0.4297159	0.4657442
0.71	0.1743362	1.747568	1.618549	0.6487357	0.2660524	0.4586068	0.4971002
0.74	0.188474	1.596308	1.605634	0.6925479	0.2862354	0.4887134	0.5296891
0.77	0.2051117	1.521353	1.626185	0.7385095	0.3083707	0.5209096	0.5653524
