voltage	series1	
-0.1	-0.00933952
-0.07	-0.006094745
-0.04	-0.003376172
-0.01	-0.0008598564
0.02	0.001814497
0.05	0.004413278
0.08	0.007247995
0.11	0.01040163
0.14	0.01381373
0.17	0.01762977
0.2	0.02210703
0.23	0.02712153
0.26	0.03274873
0.29	0.03905231
0.32	0.04606787
0.35	0.05383958
0.38	0.06237609
0.41	0.07172934
0.44	0.08185587
0.47	0.09279339
0.5	0.1045375
0.53	0.1156377
0.56	0.1294541
0.59	0.1436999
0.62	0.158394
0.65	0.1733654
0.68	0.1885982
0.71	0.2039845
0.74	0.2193382
0.77	0.2348202
0.8	0.2505429
0.83	0.266915
0.86	0.2842259
0.89	0.302791
0.92	0.3223397
0.95	0.3428082
0.98	0.3643974
1.01	0.3870304
1.04	0.41043
1.07	0.4360088
1.1	0.461937
1.13	0.4890867
1.1	0.4616929
1.07	0.4359244
1.04	0.4118748
1.01	0.3898172
0.98	0.3695415
0.95	0.3507738
0.92	0.3333327
0.89	0.3169703
0.86	0.3015606
0.83	0.2870882
0.8	0.2732563
0.77	0.2599233
0.74	0.2471957
0.71	0.2346156
0.68	0.2221083
0.65	0.2099106
0.62	0.197628
0.59	0.1852354
0.56	0.1725354
0.53	0.1596633
0.5	0.1467546
0.47	0.1340576
0.44	0.1215569
0.41	0.1094107
0.38	0.09768285
0.35	0.08645936
0.32	0.0758228
0.29	0.0656695
0.26	0.0560838
0.23	0.04713772
0.2	0.03880234
0.17	0.03109466
0.14	0.02406709
0.11	0.01772101
0.08	0.01199317
0.05	0.006981079
0.02	0.002559811
-0.01	-0.001437028
-0.04	-0.004827169
-0.07	-0.007833171
-0.1	-0.01046084
