voltage	series1	series2	series3	series4	series5	series6	series7	series8	
-0.1	-0.00933952	-0.02873513	-0.0261044	-0.01141264	-0.01817793	-0.01742303	-0.02228022	-0.01825462
-0.07	-0.006094745	-0.01916758	-0.01740267	-0.007461677	-0.01200447	-0.01154893	-0.01473638	-0.01206498
-0.04	-0.003376172	-0.01083425	-0.009879362	-0.00412528	-0.006797093	-0.00656605	-0.008331602	-0.006763968
-0.01	-0.0008598564	-0.002773424	-0.002484984	-0.001016272	-0.001705312	-0.001655975	-0.002088599	-0.001682331
0.02	0.001814497	0.005875096	0.005263366	0.002157464	0.003634753	0.003533326	0.004429387	0.003545159
0.05	0.004413278	0.01462578	0.01310493	0.005318125	0.009089029	0.008872043	0.01104033	0.008773588
0.08	0.007247995	0.02418243	0.02156526	0.008682097	0.01485191	0.01452943	0.01816711	0.01427448
0.11	0.01040163	0.03498466	0.03107196	0.01237921	0.02142273	0.02114533	0.02616831	0.02031691
0.14	0.01381373	0.04697315	0.04162637	0.01642428	0.0288158	0.02861392	0.03511279	0.02707905
0.17	0.01762977	0.06053376	0.05359926	0.0210645	0.03719252	0.03715973	0.04530055	0.03471009
0.2	0.02210703	0.07589078	0.06718926	0.02635047	0.04674299	0.04697782	0.05700215	0.0433492
0.23	0.02712153	0.09328845	0.08268178	0.03239311	0.05761541	0.0582541	0.070388	0.05322042
0.26	0.03274873	0.112297	0.1003131	0.03929686	0.06998785	0.07116611	0.08574168	0.0645097
0.29	0.03905231	0.1344886	0.1183138	0.04717115	0.08391954	0.08582618	0.1032369	0.07728484
0.32	0.04606787	0.1589693	0.1414223	0.0561242	0.09958463	0.102405	0.1199709	0.09177242
0.35	0.05383958	0.1858974	0.1666621	0.06620614	0.1152386	0.1179172	0.143761	0.1082033
0.38	0.06237609	0.2153403	0.1943141	0.07746819	0.1355319	0.1404345	0.1689831	0.126209
0.41	0.07172934	0.2473523	0.2246178	0.09002645	0.1570325	0.16363	0.1964258	0.1460198
0.44	0.08185587	0.282009	0.2574392	0.1037736	0.180229	0.1885873	0.2263164	0.167719
0.47	0.09279339	0.3191809	0.2929988	0.1168371	0.2053096	0.2154132	0.2585387	0.1913294
0.5	0.1045375	0.3589425	0.3309079	0.133878	0.2321192	0.2441349	0.2930172	0.2167214
0.53	0.1156377	0.4011261	0.3713953	0.1517012	0.2606396	0.2746909	0.3296534	0.2438424
0.56	0.1294541	0.4455255	0.4141654	0.1703229	0.290734	0.3067133	0.3681446	0.2726382
0.59	0.1436999	0.4918795	0.4588912	0.1899042	0.3220937	0.340013	0.4084193	0.3023717
0.62	0.158394	0.5398387	0.5053101	0.2103396	0.3545991	0.3743034	0.4500734	0.333364
0.65	0.1733654	0.5887598	0.5529121	0.2312457	0.3875296	0.4089263	0.4925437	0.3652928
0.68	0.1885982	0.6381301	0.601225	0.2526104	0.4207901	0.4435	0.5354016	0.3976692
0.71	0.2039845	0.6874028	0.6497662	0.2741233	0.4538904	0.4779575	0.5780056	0.429929
0.74	0.2193382	0.7362411	0.6981661	0.2952444	0.4867831	0.5123056	0.6202498	0.4622222
0.77	0.2348202	0.784166	0.7454998	0.3160627	0.5192574	0.5464208	0.6620597	0.4937143
0.8	0.2505429	0.8309946	0.7912421	0.336129	0.5508329	0.5797296	0.7020251	0.5239681
0.83	0.266915	0.8775624	0.8371864	0.3564904	0.5819709	0.6125964	0.7410393	0.5536265
0.86	0.2842259	0.9268139	0.8861104	0.3787153	0.6153071	0.647668	0.7820265	0.58518
0.89	0.302791	0.9804362	0.9401628	0.402974	0.6520816	0.6871647	0.828783	0.6210375
0.92	0.3223397	1.037567	0.996458	0.4292338	0.6918484	0.7304542	0.881337	0.661902
0.95	0.3428082	1.094045	1.054784	0.4581994	0.7347337	0.7764727	0.9397457	0.7076049
0.98	0.3643974	1.154908	1.113369	0.4896132	0.7795625	0.8237295	0.9981609	0.7565444
1.01	0.3870304	1.215716	1.173076	0.5229337	0.8255923	0.8721643	1.058897	0.8068743
1.04	0.41043	1.27867	1.233246	0.557919	0.8735439	0.9222752	1.120263	0.8587729
1.07	0.4360088	1.341959	1.294566	0.5960973	0.9223092	0.974061	1.181771	0.9111358
1.1	0.461937	1.406755	1.356199	0.6339879	0.9741843	1.02736	1.243071	0.9644348
1.13	0.4890867	1.473767	1.419012	0.6722301	1.029282	1.079687	1.304913	1.017458
1.1	0.4616929	1.416524	1.366061	0.6398726	0.9906429	1.03791	1.256603	0.977737
1.07	0.4359244	1.359898	1.314141	0.6078553	0.9516356	0.9948686	1.207105	0.9365964
1.04	0.4118748	1.304711	1.261709	0.5771578	0.9121501	0.9516448	1.157762	0.8958562
1.01	0.3898172	1.250875	1.210338	0.5489851	0.8735764	0.9105467	1.109238	0.8560899
0.98	0.3695415	1.198923	1.160865	0.5218365	0.8356076	0.8709825	1.062555	0.8188647
0.95	0.3507738	1.148354	1.112567	0.4966123	0.7989713	0.8331699	1.0164	0.7803759
0.92	0.3333327	1.099384	1.065872	0.4729267	0.7634187	0.7960835	0.9726938	0.7464478
0.89	0.3169703	1.05237	1.020379	0.4511032	0.7293621	0.7603259	0.930592	0.713195
0.86	0.3015606	1.005636	0.9756839	0.4300782	0.6961428	0.7259306	0.8894873	0.6808559
0.83	0.2870882	0.9607916	0.9333098	0.41	0.6646344	0.6926745	0.8500992	0.6496342
0.8	0.2732563	0.9169682	0.8917088	0.3907928	0.6330427	0.6605767	0.8115528	0.6192434
0.77	0.2599233	0.8738338	0.8512434	0.3725578	0.6026282	0.6294105	0.773666	0.5895111
0.74	0.2471957	0.8317819	0.8106337	0.3544502	0.5724902	0.5986198	0.7362406	0.5602465
0.71	0.2346156	0.7898097	0.76944	0.3367212	0.5425599	0.5673207	0.6980326	0.5304827
0.68	0.2221083	0.7475721	0.7285422	0.318627	0.5129341	0.5361615	0.6591913	0.5007989
0.65	0.2099106	0.7054413	0.6865335	0.3003616	0.4828954	0.5039793	0.6189114	0.4702092
0.62	0.197628	0.6624344	0.6438697	0.2818733	0.4522061	0.4715493	0.5782339	0.4391462
0.59	0.1852354	0.6187764	0.5997755	0.2625542	0.421154	0.437979	0.5362676	0.4075177
0.56	0.1725354	0.574269	0.5558951	0.2427489	0.3893298	0.4040845	0.4947362	0.3758856
0.53	0.1596633	0.5298408	0.5120345	0.2229747	0.3580827	0.3706098	0.4531322	0.3447054
0.5	0.1467546	0.4859919	0.4684756	0.2036546	0.3272601	0.3381668	0.4132695	0.3140333
